S. No.,Make,Model,Variant,Year,Fuel_Type,Price,AC Service and Repair
14,Audi,A5,Cabriolet 2.0 TDI,2017-2020,Diesel,"18,500",
17,Audi,A6,2.0 TDI,2011-2015,Diesel,"19,000",
18,Audi,A6,2.0 TFSi,2011-2015,Petrol,"19,000",
21,Audi,A6,35 TDI Matrix,2015-2019,Diesel,"19,500",
22,Audi,A6,35 TFSI MATRIX,2015-2019,Petrol,"19,500",
33,Audi,Q5,2.0 TFSI,2010-2012,Petrol,"19,000",
34,Audi,Q5,3.0 TDI quattro,2010-2012,Diesel,"20,500",
35,Audi,Q5,2.0 TDI,2013-2018,Diesel,"19,000",
36,Audi,Q5,2.0 TFSI,2013-2018,Petrol,"19,000",
37,Audi,Q5,35 TDI,2018-2020,Diesel,"19,000",
38,Audi,Q5,45 TFSI,2018-2020,Petrol,"19,000",
39,Audi,Q7,3.0 TDI,2011-2015,Diesel,"21,500",
40,Audi,Q7,4.2 TDI,2011-2015,Diesel,"23,500",
41,Audi,Q7,4.2 TFSI,2011-2015,Petrol,"23,500",
42,Audi,Q7,3.0 TFSI,2016-2020,Petrol,"23,500",
43,Audi,Q7,3.0 TDI,2016-2020,Diesel,"23,500",
44,Audi,Q8,3.0 TFSI,2020-2022,Petrol,"25,000",
45,Audi,RS5,Coupe,2012-2020,Petrol,"23,500",
46,Audi,RS7 Sportback,4.0 TFSI,2015-2020,Petrol,"25,000",
47,Audi,S4,S4 3.0 TFSI,2012-2016,Petrol,"22,000",
48,Audi,TT,2.0 TFSI,2012-2015,Petrol,"18,000",
49,Audi,TT,45 TFSI,2015-2019,Petrol,"18,000",
50,BMW,1 Series,116i Hatchback,2013-2017,Petrol,"17,000",
51,BMW,1 Series,118d Hatchback,2013-2017,Diesel,"17,000",
52,BMW,2 Series,Gran Coupe 220d,2020-2022,Diesel,"18,000",
53,BMW,2 Series,Gran Coupe 220i,2020-2022,Petrol,"18,000",
54,BMW,3 Series,320d,2007-2012,Diesel,"17,000",
55,BMW,3 Series,320i,2007-2012,Petrol,"17,000",
56,BMW,3 Series,320d,2012-2015,Diesel,"17,000",
57,BMW,3 Series,320i,2012-2015,Petrol,"17,000",
58,BMW,3 Series,320d,2016-2019,Diesel,"17,000",
76,BMW,6 Series,650i Convertible,2011-2014,Petrol,"23,000",
77,BMW,6 Series,620d,2017-2022,Diesel,"20,000",
78,BMW,6 Series,630d,2018-2022,Diesel,"23,000",
130,Mercedes,B-Class,B 180,2012-2015,Petrol,"17,000",
131,Mercedes,B-Class,B 180 CDI,2012-2015,Diesel,"17,000",
132,Mercedes,B-Class,B 200,2015-2019,Diesel,"17,000",
133,Mercedes,C-Class,220 CDI,2011-2014,Diesel,"17,000",
134,Mercedes,C-Class,250 CDI,2011-2014,Diesel,"17,000",
356,Lexus,LX 470,SUV Diesel,2017-2022,DIESEL,"21,000",
357,Lexus,NX,300h Exquisite,2017-2022,PETROL,"21,000",
358,Lexus,NX,350h Exquisite,2022,PETROL,"21,000",
359,Lexus,RX,450hL,2017-2022,HYBRID,"21,000",
